url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,Alternate names,Memory Card,USB,Ethernet,Processor,Graphics,Weight,Battery Type,Console Family,Launched,Wi-Fi,HDMI
https://gadgets.ndtv.com/microsoft-xbox-360-11997,https://i.gadgets360cdn.com/products/large/1549531497_635_xbox_360_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,Microsoft Xbox 360 (Black),Xbox 360,"₹ 22,450",412,8,1,6,13,72,"4GB, 250GB",Home Console,"Composite video (S-Video); Component (D-Terminal), VGA",512MB,Disc,,,,4 USB 2.0 ports,Yes,3.2GHz PowerPC Tri-Core,512MB GDDR3 RAM,2.9kg,,Microsoft Xbox 360,Nov-05,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-360-11997,https://i.gadgets360cdn.com/products/large/1549531497_635_xbox_360_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox 360 (Black, 4GB)",Xbox 360,"₹ 27,990",412,8,1,6,13,72,"4GB, 250GB",Home Console,"Composite video (S-Video); Component (D-Terminal), VGA",512MB,Disc,,,,4 USB 2.0 ports,Yes,3.2GHz PowerPC Tri-Core,512MB GDDR3 RAM,2.9kg,,Microsoft Xbox 360,Nov-05,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-s-all-digital-edition-13028,https://i.gadgets360cdn.com/products/large/1555479830_635_xbox_one_s_all_digital_edition.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,Microsoft Xbox One S (Black),Xbox One S All-Digital Edition,"₹ 21,990",463,18,4,5,11,62,,Home Console,"HDMI-out, Optical Out",8GB,,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,,,Microsoft Xbox One,May-19,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-s-11990,https://i.gadgets360cdn.com/products/large/1549457624_635_xbox_one_s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One S (Gradient Purple, 1TB)",Xbox One S,"₹ 29,999",405,3,2,3,15,77,"500GB, 1TB, 2TB",Home Console,"HDMI-out, Optical Out",8GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,2.9kg,,Microsoft Xbox One,Aug-16,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-s-all-digital-edition-13028,https://i.gadgets360cdn.com/products/large/1555479830_635_xbox_one_s_all_digital_edition.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,Microsoft Xbox One S (White),Xbox One S All-Digital Edition,"₹ 21,490",463,18,4,5,11,62,,Home Console,"HDMI-out, Optical Out",8GB,,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,,,Microsoft Xbox One,May-19,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-s-11990,https://i.gadgets360cdn.com/products/large/1549457624_635_xbox_one_s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One S (White, 1TB)",Xbox One S,"₹ 30,990",405,3,2,3,15,77,"500GB, 1TB, 2TB",Home Console,"HDMI-out, Optical Out",8GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,2.9kg,,Microsoft Xbox One,Aug-16,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-s-all-digital-edition-13028,https://i.gadgets360cdn.com/products/large/1555479830_635_xbox_one_s_all_digital_edition.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One S (White, 1TB)",Xbox One S All-Digital Edition,"₹ 19,990",463,18,4,5,11,62,,Home Console,"HDMI-out, Optical Out",8GB,,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,,,Microsoft Xbox One,May-19,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-x-11989,https://i.gadgets360cdn.com/products/large/1549457475_635_xbox_one_x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One X (Black, 1TB)",Xbox One X,"₹ 43,990",297,14,3,5,12,66,1TB,Home Console,"HDMI-out, Optical Out",12GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 2.3GHz 8-core,AMD Radeon GCN 4.0,3.81kg,,Microsoft Xbox One,Nov-17,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-x-11989,https://i.gadgets360cdn.com/products/large/1549457475_635_xbox_one_x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One X (Grey, 1TB)",Xbox One X,"₹ 47,304",297,14,3,5,12,66,1TB,Home Console,"HDMI-out, Optical Out",12GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 2.3GHz 8-core,AMD Radeon GCN 4.0,3.81kg,,Microsoft Xbox One,Nov-17,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-series-s-price-in-india-97191,https://i.gadgets360cdn.com/products/large/Xbox-series-S-DB-437x800-1600325377.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox Series S (White, 512GB)",Xbox Series S,"₹ 34,990",70,29,4,7,14,46,512GB PCie Gen 4 NVME SSD,Home Console,,10GB GDDR6 RAM,,,,,,,Custom 8-core AMD Zen 2 CPU @ 3.8GHz,Custom AMD RDNA 2 GPU 20 CUs @ 1.565GHz,,,Microsoft Xbox Series,10th November 2020,,
