url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Launched,Front camera,Screen size (inches),Touchscreen,Rear camera,Wi-Fi,Internal storage,Bluetooth,Resolution,Operating system,Expandable storage,Accelerometer,Processor,GPS,Ambient light sensor,Gyroscope,Removable battery,RAM,Compass/ Magnetometer,Proximity sensor,Barometer,Wi-Fi Direct,FM,USB OTG,Headphones,NFC,Temperature sensor,Infrared,Mobile High-Definition Link (MHL),Expandable storage type,Processor make,Wi-Fi standards supported,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Number of SIMs,Rear Flash,3G,4G/ LTE,Supports 4G in India (Band 40),Pixels per inch (PPI),GSM/CDMA,SIM Type,Form factor,Sim 2 3G,other_info
https://gadgets.ndtv.com/acer-iconia-one-8-1935,https://drop.ndtv.com/TECH/product_database/images/93201460710PM_635_acer_iconia_tab_one_8.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,"Acer Iconia One 8 B1-870-K7MZ Tablet (16GB, 8 inches, Wifi, White)",Iconia One 8,"₹ 35,135",6,17,0,0,33,50,Sep-14,No,8,No,No,Yes,,Yes,1280x800 pixels,Android 4.4,No,Yes,quad-core,Yes,No,No,No,,No,Yes,No,No,No,No,3.5mm,No,No,No,No,,,,,,,,,,,,,,,,,,,,{}
https://gadgets.ndtv.com/acer-iconia-one-7-1574,https://drop.ndtv.com/TECH/product_database/images/4302014104446AM_635_acer_iconia_one_7.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,"Acer Iconia ONE-7 Tablet (16GB, 7 Inches, WI-FI, Black)",Iconia One 7,"₹ 13,500",252,42,9,13,10,27,Apr-14,0.3-megapixel,7,No,2-megapixel,Yes,8GB,Yes,1280x800 pixels,Android 4.2,Yes,Yes,1.6GHz dual-core,No,No,No,No,1GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,Intel Atom Z2560,802.11 b/g/n,320,119.00 x 198.00 x 10.16,3700,32,3,"Red, White, Black, Blue, Pink",,,,,,,,,,,{'Alternate names': 'B1-730HD'}
https://gadgets.ndtv.com/acer-iconia-tab-8-w-1933,https://drop.ndtv.com/TECH/product_database/images/93201460408PM_635_acer_iconia_tab_8_w.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,"Acer Iconia Tab 8 W W1-810 Tablet (32GB, 8 inches, Wifi, White)",Iconia Tab 8 W,"₹ 6,999",38,21,11,16,21,32,Sep-14,No,8,No,No,Yes,32GB,Yes,1280x800 pixels,Windows 8.1,Yes,Yes,quad-core,Yes,No,No,No,1GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,,,,,,,,,,,,,,,,,,,{}
https://gadgets.ndtv.com/alcatel-1t-7-4630,https://i.gadgets360cdn.com/products/large/1519567614_635_alcatel_1t_7_image.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel 1T7 Tablet (8GB, 7 inches, Wifi, Bluish Black)",1T 7,"₹ 4,299",180,23,6,20,21,30,Feb-18,2-megapixel,7,Yes,5-megapixel,Yes,8GB,Yes,600x1024 pixels,Android 8.1,Yes,,1.3GHz quad-core,Yes,,,,1GB,,,,Yes,,,,,,,,microSD,MediaTek MT8321 A/D,802.11 b/g/n,245,189.50 x 111.00 x 9.15,2580,128,4.2,,,,,,,,,,Touchscreen,,{}
https://gadgets.ndtv.com/alcatel-1t-7-4630,https://i.gadgets360cdn.com/products/large/1519567614_635_alcatel_1t_7_image.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel 1T7 Tablet (8GB, 7 inches, Wifi, Premium Black)",1T 7,"₹ 4,299",180,23,6,20,21,30,Feb-18,2-megapixel,7,Yes,5-megapixel,Yes,8GB,Yes,600x1024 pixels,Android 8.1,Yes,,1.3GHz quad-core,Yes,,,,1GB,,,,Yes,,,,,,,,microSD,MediaTek MT8321 A/D,802.11 b/g/n,245,189.50 x 111.00 x 9.15,2580,128,4.2,,,,,,,,,,Touchscreen,,{}
https://gadgets.ndtv.com/alcatel-3t-8-5681,https://i.gadgets360cdn.com/products/large/1539087755_635_alcatel_3t_8.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel 3T8 Tablet (16GB, 8 inches, 4G & Wifi, Metallic Black)",3T 8,"₹ 8,999",171,4,6,12,29,49,Oct-18,5-megapixel,8,Yes,5-megapixel,Yes,,,,Android 8.1,,,1.5GHz quad-core,,,,,2GB,,,,,,,,,,,,,,,,,4080,,,Black,,,,,,,,,Touchscreen,,{}
https://gadgets.ndtv.com/alcatel-3t-8-5681,https://i.gadgets360cdn.com/products/large/1539087755_635_alcatel_3t_8.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel 3T8 Tablet (16GB, 8 inches, 4G & Wifi, Sandstone Blue)",3T 8,"₹ 8,999",171,4,6,12,29,49,Oct-18,5-megapixel,8,Yes,5-megapixel,Yes,,,,Android 8.1,,,1.5GHz quad-core,,,,,2GB,,,,,,,,,,,,,,,,,4080,,,Black,,,,,,,,,Touchscreen,,{}
https://gadgets.ndtv.com/alcatel-a3-10-wi-fi-4613,https://i.gadgets360cdn.com/products/large/1519046402_635_alcatel_a3_10_wi_fi_image.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel A3 10 9026T Tablet (16GB, 10.1 Inches, WI-FI, Blue & White)",A3 10 Wi-Fi,"₹ 9,999",994,8,4,12,29,47,Feb-18,2-megapixel,10.1,Yes,5-megapixel,Yes,32GB,Yes,1280x800 pixels,Android 5.0,Yes,Yes,1.3GHz quad-core,,,,No,1GB,,,,,Yes,,3.5mm,,,,,microSD,MediaTek MT8127,802.11 b/g/n,475,255.00 x 155.00 x 9.50,4060,32,4,,,,,,,,,,Touchscreen,,{}
https://gadgets.ndtv.com/alcatel-a3-10-wi-fi-4613,https://i.gadgets360cdn.com/products/large/1519046402_635_alcatel_a3_10_wi_fi_image.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel A3 10 9026T Tablet (16GB, 10.1 Inches, WI-FI, Volcano Black)",A3 10 Wi-Fi,"₹ 8,800",994,8,4,12,29,47,Feb-18,2-megapixel,10.1,Yes,5-megapixel,Yes,32GB,Yes,1280x800 pixels,Android 5.0,Yes,Yes,1.3GHz quad-core,,,,No,1GB,,,,,Yes,,3.5mm,,,,,microSD,MediaTek MT8127,802.11 b/g/n,475,255.00 x 155.00 x 9.50,4060,32,4,,,,,,,,,,Touchscreen,,{}
https://gadgets.ndtv.com/alcatel-pop-4-10-inch-3760,https://i.gadgets360cdn.com/products/large/1518696689_635_alcatel_POP4_10_4g_india.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Alcatel,"Alcatel Pixi 4 Tablet (16GB, 7 Inches, WI-FI, Volcano Black)",Pop4 (10-inch),"₹ 6,999",215,14,12,13,28,33,Sep-16,5-megapixel,10.1,Yes,8-megapixel,Yes,16GB,Yes,1200x1920 pixels,Android 6.0,Yes,Yes,1.4GHz octa-core,Yes,No,No,No,2GB,No,No,No,No,No,Yes,3.5mm,No,No,No,No,microSD,Qualcomm Snapdragon 430,802.11 b/g/n,449,259.20 x 156.00 x 7.95,5830,32,4.2,"Dark Grey, Silver",1,,Yes,Yes,Yes,,GSM,Micro-SIM,Touchscreen,,{}
