url,Picture URL,Brand,Product Name,Model,Model Name,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Display Size,Screen Type,Resolution Standard,No of USB Port,No of HDMI Port,Smart TV,Color,Speaker Output RMS,Number of Speakers,Resolution (pixels),Power Consumption,Analog Audio Input,Width x Height x Depth (without stand),Built In Wi-Fi,Weight (without stand),Width x Height x Depth (with stand),Refresh Rate (Hz),Launch Year,Weight (with stand),Curve TV,Aspect Ratio,Contrast Ratio,Touch Remote,RF Connectivity Input,3D,Component In (RGB Cable),View Angle,Sound Technology,Ethernet (RJ45),Speaker Type,RF Capable,Headphone Jack,Supported Video Formats,Operating System,Series,Brightness,Surround Sound,other_info
https://gadgets.ndtv.com/aisen-24-inch-led-full-hd-tv-a24fdn530-9931,https://gadgets.ndtv.com/static/icons/tv-icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,"Aisen 24 Inches Full HD LED Standard TV (A24FDN530, Black)",24 Inch LED Full HD TV (A24FDN530),A24FDN530,"₹ 7,990",,0,0,0,0,0,24 inch,LED,Full-HD,1,1,No,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,No,,,60,2017,,No,,,No,,No,,,,,,,,,,,,,
https://gadgets.ndtv.com/aisen-32-inch-led-full-hd-tv-a32hcn700-9933,https://i.gadgets360cdn.com/products/televisions/large/1548153714_832_aisen_32-inch-led-full-hd-tv-a32hcn700.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,Aisen 32 Inches Full HD LED Curved TV (A32HCN700),32 Inch LED Full HD TV (A32HCN700),A32HCN700,"₹ 30,000",,0,0,0,0,0,32 inch,LED,Full-HD,2,2,No,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,No,,,60,2017,,Yes,,,No,,No,,,,,,,,,,,,,
https://gadgets.ndtv.com/aisen-32-inch-led-full-hd-tv-a32hcs800-9934,https://i.gadgets360cdn.com/products/televisions/large/1548153715_832_aisen_32-inch-led-full-hd-tv-a32hcs800.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,Aisen 32 Inches Full HD LED Curved TV (A32HCS800),32 Inch LED Full HD TV (A32HCS800),A32HCS800,"₹ 16,890",,0,0,0,100,0,32 inch,LED,Full-HD,2,2,Yes,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,Yes,,,60,2017,,Yes,,,No,,No,,,,,,,,,,,,,
https://gadgets.ndtv.com/aisen-32-inch-led-full-hd-tv-a32hes900-9940,https://i.gadgets360cdn.com/products/televisions/large/1548153720_832_aisen_32-inch-led-full-hd-tv-a32hes900.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,Aisen 32 Inches Full HD LED Curved TV (A32HES900),32 Inch LED Full HD TV (A32HES900),A32HES900,"₹ 17,990",,0,0,0,0,0,32 inch,LED,Full-HD,2,2,Yes,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,Yes,,,60,2017,,Yes,,,No,,No,,,,1,,,,,,,,,
https://gadgets.ndtv.com/aisen-32-inch-led-full-hd-tv-a32hdn560-9936,https://i.gadgets360cdn.com/products/televisions/large/1548153717_832_aisen_32-inch-led-full-hd-tv-a32hdn560.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,Aisen 32 Inches Full HD LED TV (A32HDN560),32 Inch LED Full HD TV (A32HDN560),A32HDN560,"₹ 10,590",,0,0,0,0,0,32 inch,LED,Full-HD,2,2,No,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,No,,,60,2017,,No,,,No,,No,,,,,,,,,,,,,
https://gadgets.ndtv.com/aisen-32-inch-led-full-hd-tv-a32hdn570-9937,https://i.gadgets360cdn.com/products/televisions/large/1548153718_832_aisen_32-inch-led-full-hd-tv-a32hdn570.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,Aisen 32 Inches Full HD LED TV (A32HDN570),32 Inch LED Full HD TV (A32HDN570),A32HDN570,"₹ 10,590",,0,0,0,0,0,32 inch,LED,Full-HD,1,2,No,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,No,,,60,2017,,No,,,No,,No,,,,,,,,,,,,,
https://gadgets.ndtv.com/aisen-32-inch-led-hd-ready-tv-a32hds600-9938,https://i.gadgets360cdn.com/products/televisions/large/1548153719_832_aisen_32-inch-led-hd-ready-tv-a32hds600.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,"Aisen 32 Inches HD Ready LED Smart TV (A32HDS600, Black)",32 Inch LED HD Ready TV (A32HDS600),A32HDS600,"₹ 27,800",,0,0,0,0,0,32 inch,LED,HD-Ready,2,2,Yes,Black,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,No,,,60,2017,,No,,,No,,No,,,,1,,,,,,,,,
https://gadgets.ndtv.com/aisen-55-inch-led-full-hd-tv-a55uds970-9946,https://i.gadgets360cdn.com/products/televisions/large/1548153725_832_aisen_55-inch-led-full-hd-tv-a55uds970.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Aisen,"Aisen 55 Inches Full HD LED Smart TV (A55UDS970, Grey)",55 Inch LED Full HD TV (A55UDS970),A55UDS970,"₹ 42,400",,100,0,0,0,0,55 inch,LED,Full-HD,2,2,Yes,Grey,20 W,2,1920x1080,"91.5 W, 0.5 W (Standby)",Yes,,Yes,,,60,2017,,Yes,,,No,,No,,,,1,,,,,,,,,
https://gadgets.ndtv.com/akai-15-inch-led-hd-ready-tv-cutie-9997,https://i.gadgets360cdn.com/products/televisions/large/1548153787_832_akai_15-inch-led-hd-ready-tv-cutie.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 15 inches HD Ready LED TV(Cutie),15 Inch LED HD Ready TV (Cutie),Cutie,"₹ 7,990",,0,0,0,0,0,15 inch,LED,HD-Ready,1,,No,,200 W,,1366x768,,Yes,,,,,,,,,0.16875,1000000:1 (Dynamic),,,,,,,,,,,,,,,,
https://gadgets.ndtv.com/akai-19-inch-led-tv-19d20-dx-8975,https://i.gadgets360cdn.com/products/televisions/large/1548152813_832_akai_19-inch-led-tv-19d20-dx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 19 Inches Full HD LED TV (19D20-DX),19 Inch LED TV (19D20-DX),19D20-DX,"₹ 10,490",,0,0,0,0,100,19 inch,LED,,1,,No,,,,,,Yes,,,,,,,,,,100000:1 (Dynamic),,,,,,,,,,1,,,,,,
https://gadgets.ndtv.com/akai-32-inch-lcd-full-hd-tv-l32b31-10335,https://i.gadgets360cdn.com/products/televisions/large/1548154069_832_akai_32-inch-lcd-full-hd-tv-l32b31.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 32 Inches Full HD LCD TV (L32B31),32 Inch LCD Full HD TV (L32B31),L32B31,"₹ 21,990",,0,0,0,0,100,32 inch,LED,Full-HD,2,,No,,,,1920x1080,,Yes,865 mm x 620 mm x 110 mm,,,,,,13.5 kg,,,1000000:1 (Dynamic),,,,,,,,,,,,,,,,
https://gadgets.ndtv.com/akai-32-inch-led-full-hd-tv-32d20-dx-9118,https://i.gadgets360cdn.com/products/televisions/large/1548152936_832_akai_32-inch-led-full-hd-tv-32d20-dx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 32 Inches Full HD LED TV (32D20-DX),32 Inch LED Full HD TV (32D20-DX),32D20-DX,"₹ 25,490",,0,0,0,0,0,32 inch,LED,Full-HD,2,,No,,,,1920x1080,,Yes,789.4 mm x 505.4 mm x 80.2 mm,,,,,,,,,100000:1 (Dynamic),,,,,,,,,,1,,,,,,
https://gadgets.ndtv.com/akai-32-inch-led-full-hd-tv-32p40-9269,https://i.gadgets360cdn.com/products/televisions/large/1548153083_832_akai_32-inch-led-full-hd-tv-32p40.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 32 Inches Full HD LED TV (32P40),32 Inch LED Full HD TV (32P40),32P40,"₹ 22,990",4,25,0,0,25,50,32 inch,LED,Full-HD,1,,No,,,,1920x1080,,Yes,865 mm x 620 mm x 110 mm,,13.5 kg,,,,,,,1000000:1 (Dynamic),,,,,,,,,,,,,,,,
https://gadgets.ndtv.com/akai-32-inch-led-tv-32b30-9105,https://i.gadgets360cdn.com/products/televisions/large/1548152926_832_akai_32-inch-led-tv-32b30.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 32 Inches HD Ready LED TV (32B30),32 Inch LED TV (32B30),32B30,"₹ 19,990",,0,0,0,0,0,32 inch,LED,,1,,No,,,,,,Yes,,,,,,,,,,100000:1 (Dynamic),,,,,,,,,,1,,,,,3D,
https://gadgets.ndtv.com/akai-32-inch-led-tv-32d21-9119,https://i.gadgets360cdn.com/products/televisions/large/1548152937_832_akai_32-inch-led-tv-32d21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 32 Inches HD Ready LED TV (32D21),32 Inch LED TV (32D21),32D21,"₹ 23,990",,0,0,0,0,0,32 inch,LED,,1,,No,,,,,,Yes,,,,,,,,,,"100,000:1 (Dynamic)",,,,,,,,,,Yes,,,,,,{'Stand Type': 'Glass'}
https://gadgets.ndtv.com/akai-32-inch-led-tv-takashi-32-10920,https://i.gadgets360cdn.com/products/televisions/large/1548154515_832_akai_32-inch-led-tv-takashi-32.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 32 Inches LED TV (TAKASHI 32),32 Inch LED TV (TAKASHI 32),TAKASHI 32,"₹ 24,990",2,0,0,0,0,100,32 inch,LED,,1,,No,,,,,,Yes,,,,,,,,,,1000000:1 (Dynamic),,,,,,,,,,,,,,,,
https://gadgets.ndtv.com/akai-40-inch-led-tv-40n40-9413,https://i.gadgets360cdn.com/products/televisions/large/1548153215_832_akai_40-inch-led-tv-40n40.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 40 Inches Full HD LED TV (40N40),40 Inch LED TV (40N40),40N40,"₹ 29,990",,0,0,0,0,0,40 inch,LED,,1,,No,,,,,,Yes,,,,,,,,,,1000000:1 (Dynamic),,,,,,,,,,1,,,,,,
https://gadgets.ndtv.com/akai-40-inch-led-full-hd-tv-40n60-9416,https://i.gadgets360cdn.com/products/televisions/large/1548153217_832_akai_40-inch-led-full-hd-tv-40n60.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 40 Inches Full HD LED TV (40N60),40 Inch LED Full HD TV (40N60),40N60,"₹ 39,990",,0,0,0,0,0,40 inch,LED,Full-HD,1,,No,,,,1920x1080,,Yes,970 mm x 602 mm x 53.3 mm,,,,,,12.9 kg,,,1000000:1 (Dynamic),,,,,,,,,,1,,,,,,
https://gadgets.ndtv.com/akai-40-inch-led-full-hd-tv-46n60-9606,https://i.gadgets360cdn.com/products/televisions/large/1548153396_832_akai_40-inch-led-full-hd-tv-46n60.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 40 Inches Full HD LED TV (46N60),40 Inch LED Full HD TV (46N60),46N60,"₹ 69,990",6,0,0,17,50,33,40 inch,LED,Full-HD,1,,No,,,,1920x1080,,Yes,,,,,,,,,,1000000:1 (Dynamic),,,,,,,,,,1,,,,,,
https://gadgets.ndtv.com/akai-40-inch-led-full-hd-tv-takashi-40-10921,https://i.gadgets360cdn.com/products/televisions/large/1548154515_832_akai_40-inch-led-full-hd-tv-takashi-40.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,Akai 40 Inches Full HD LED TV (TAKASHI 40),40 Inch LED Full HD TV (TAKASHI 40),TAKASHI 40,"₹ 44,990",,0,0,0,0,0,40 inch,LED,Full-HD,1,,No,,,,1920x1080,,Yes,,,,,,,,,,1000000:1 (Dynamic),,,,,,,,,,,,,,,,
https://gadgets.ndtv.com/akai-40-inch-led-tv-l40b30-10365,https://i.gadgets360cdn.com/products/televisions/large/1548154097_832_akai_40-inch-led-tv-l40b30.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Akai,"Akai 40 Inches LED TV (L40B30, Blue)",40 Inch LED TV (L40B30),L40B30,"₹ 31,990",2,0,0,0,50,50,40 inch,LED,,1,,No,Blue,,,,,Yes,,,,,,,,,,1000000:1 (Dynamic),,,,,,,,,,1,,,,,3D,
https://gadgets.ndtv.com/aoc-22-inch-led-full-hd-tv-le24a5340-61-10471,https://i.gadgets360cdn.com/products/televisions/large/1548154183_832_aoc_22-inch-led-full-hd-tv-le24a5340-61.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,AOC,"AOC 22 Inches Full HD LED TV (LE24A5340/61, Black)",22 Inch LED Full HD TV (LE24A5340/61),LE24A5340/61,"₹ 9,876",6,0,17,0,33,50,22 inch,LED,Full-HD,1,2,No,Black,5 W x 2,2,1920x1080,"35 W, 1 W (Standby)",,513 mm x 312 mm x 52 mm,,,513 mm x 355 mm x 153 mm,60,2014,"3.5 kg, Wall Mount Dimension Vesa",,0.672916667,,,1,,1,170 / 160 Degree,,,,Yes,1,,,,"250 cd/mA,A2",Dream Surround Sound,"{'Picture Engine': 'Real Color Engine', 'Battery Type': 'AAA', 'PC Audio In': 1, 'PC D-sub': 1}"
